Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 16
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	strelka
	1

[Sat Mar 13 00:23:58 2021]
rule strelka:
    input: /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample4_CRL1622_S31.test.chrX.split.bam, /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample10_ARK1_S37.test.chrX.split.bam
    output: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test.chrX.vcf
    jobid: 0
    wildcards: samples=Sample10_ARK1_S37.test, chroms=chrX

[+] Loading strelka  2.9.0  on cn2418 

Successfully created workflow run script.
To execute the workflow, run the following script and set appropriate options:

/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chrX/runWorkflow.py
[2021-03-13T05:24:02.358014] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Initiating pyFlow run
[2021-03-13T05:24:02.358678] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2021-03-13T05:24:02.359634] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] pyFlowVersion: 1.1.19
[2021-03-13T05:24:02.360590] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] pythonVersion: 2.7.15.final.0
[2021-03-13T05:24:02.361297] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] WorkingDir: '/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chrX'
[2021-03-13T05:24:02.361984] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] ProcessCmdLine: './runWorkflow.py -m local -j 15'
[2021-03-13T05:24:02.362870] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] mode: local
[2021-03-13T05:24:02.363646] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] nCores: 15
[2021-03-13T05:24:02.364512] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] memMb: 386450
[2021-03-13T05:24:02.365200] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] dataDir: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chrX/workspace/pyflow.data
[2021-03-13T05:24:02.366413] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2021-03-13T05:24:02.367484] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] isContinue: False
[2021-03-13T05:24:02.368409] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2021-03-13T05:24:02.369050] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2021-03-13T05:24:02.370071] [cn2418.cit.nih.gov] [64751_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2021-03-13T05:24:02.371143] [cn2418.cit.nih.gov] [64751_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: UNKNOWN
[2021-03-13T05:24:02.379562] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding sub-workflow task 'CallGenome' to master workflow
[2021-03-13T05:24:02.380960] [cn2418.cit.nih.gov] [64751_1] [TaskRunner:masterWorkflow] Finished task specification for master workflow
[2021-03-13T05:24:02.381956] [cn2418.cit.nih.gov] [64751_1] [TaskManager] Launching sub-workflow task: 'CallGenome' from master workflow
[2021-03-13T05:24:02.383226] [cn2418.cit.nih.gov] [64751_1] [TaskRunner:CallGenome] Starting task specification for sub-workflow
[2021-03-13T05:24:02.384156] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+makeTmpDir' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.385414] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.386514] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+fixVcfHeader_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.387896] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.388952] [cn2418.cit.nih.gov] [64751_1] [TaskManager] Launching command task: 'CallGenome+makeTmpDir' from sub-workflow 'CallGenome'
[2021-03-13T05:24:02.389779] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.390945] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.392127] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.393120] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.394325] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.395488] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.396527] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.399861] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.402180] [cn2418.cit.nih.gov] [64751_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
