Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 16
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	strelka
	1

[Sat Mar 13 00:23:58 2021]
rule strelka:
    input: /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample4_CRL1622_S31.test.chr20.split.bam, /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample10_ARK1_S37.test.chr20.split.bam
    output: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test.chr20.vcf
    jobid: 0
    wildcards: samples=Sample10_ARK1_S37.test, chroms=chr20

[+] Loading strelka  2.9.0  on cn2397 

Successfully created workflow run script.
To execute the workflow, run the following script and set appropriate options:

/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr20/runWorkflow.py
[2021-03-13T05:24:01.139616] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Initiating pyFlow run
[2021-03-13T05:24:01.140222] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2021-03-13T05:24:01.140729] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] pyFlowVersion: 1.1.19
[2021-03-13T05:24:01.141249] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] pythonVersion: 2.7.15.final.0
[2021-03-13T05:24:01.141920] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] WorkingDir: '/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr20'
[2021-03-13T05:24:01.142479] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] ProcessCmdLine: './runWorkflow.py -m local -j 15'
[2021-03-13T05:24:01.142945] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] mode: local
[2021-03-13T05:24:01.143542] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] nCores: 15
[2021-03-13T05:24:01.144069] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] memMb: 386450
[2021-03-13T05:24:01.144571] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] dataDir: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr20/workspace/pyflow.data
[2021-03-13T05:24:01.145047] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2021-03-13T05:24:01.145636] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] isContinue: False
[2021-03-13T05:24:01.146392] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2021-03-13T05:24:01.147082] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2021-03-13T05:24:01.148077] [cn2397.cit.nih.gov] [12664_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2021-03-13T05:24:01.148763] [cn2397.cit.nih.gov] [12664_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: UNKNOWN
[2021-03-13T05:24:01.157765] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding sub-workflow task 'CallGenome' to master workflow
[2021-03-13T05:24:01.159378] [cn2397.cit.nih.gov] [12664_1] [TaskManager] Launching sub-workflow task: 'CallGenome' from master workflow
[2021-03-13T05:24:01.160638] [cn2397.cit.nih.gov] [12664_1] [TaskRunner:masterWorkflow] Finished task specification for master workflow
[2021-03-13T05:24:01.161639] [cn2397.cit.nih.gov] [12664_1] [TaskRunner:CallGenome] Starting task specification for sub-workflow
[2021-03-13T05:24:01.162784] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+makeTmpDir' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.163767] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.164515] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+fixVcfHeader_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.165692] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.166438] [cn2397.cit.nih.gov] [12664_1] [TaskManager] Launching command task: 'CallGenome+makeTmpDir' from sub-workflow 'CallGenome'
[2021-03-13T05:24:01.167514] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.168531] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.170022] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.171083] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.172408] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.174830] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.175956] [cn2397.cit.nih.gov] [12664_1] [TaskRunner:CallGenome+makeTmpDir] Task initiated on local node
[2021-03-13T05:24:01.176936] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.177976] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.178766] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.179543] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.180575] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.181305] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.182312] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.183336] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.184106] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.185003] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.186510] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0009' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.187343] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0009' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.188122] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0010' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.188875] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0010' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.190079] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0011' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.190822] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0011' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.191860] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0012' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.192886] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0012' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.193555] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0013' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.194391] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0013' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.195601] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0014' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.196428] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0014' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.197423] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0015' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.198480] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0015' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.199277] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0016' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.200306] [cn2397.cit.nih.gov] [12664_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0016' to sub-workflow 'CallGenome'
